"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Chaenactis glabriuscula","CHAGLA","Asteraceae","forb","native","flat appendage","pappus","wind","wind","CP",6.0824,6.0824,188.27784136,0.519667940052895,0.0328827505142521,13.8875,0.165846191,5.031718591,118.109070076348,1,0,0.0194,0.0194,0.0283268907835656,0.164037483956695,5,5,0,NA,NA,1,0.1874,NA,NA,NA
"Chaenactis stevioides","CHASTE","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","SD",5.5125,3.9764,127.5324409,0.495271721444842,0.0320859095346567,17.5,0.169049198,5.1316277,87.2677906955818,1,0,0.0512,0.0512,0.0780659526173212,0.214039450353681,5,5,0,NA,NA,1,0.1157,NA,NA,NA
"Chenopodium album","CHEALB","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",3.9361,3.9361,229.14907468,0.444805458768873,0.027938443670151,55.3474531,0.02733427,1.19870913,30.2154285466974,2.36897770467574,0.0186,0.0104,0.029,0.038494840582976,1.16518281129516,7,6,0,0,1,1,0.1496,0.09,0.19,0.71
"Chenopodium berlandieri","CHEBER","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",10.1416333333333,10.1416333333333,240.395343713333,0.458715680227443,0.0241663053075534,73.655,0.03287004,1.51925125,17.2985754348299,2.43799944996452,0.0287333333333333,0.022,0.0507333333333333,0.0562340688943899,1.89054495567324,7,6,0,0,1,1,0.2122,NA,NA,NA
"Chenopodium hians","CHEHIA","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",3.4766,3.4766,223.86025276,0.454917193616381,0.0343661547726588,55,0.049922919,1.1898462,20.7780618834253,2.37299079826202,0.0164,0.0116,0.028,0.0475072440063673,1.18260526777138,7,6,0,0,1,0,0.154,NA,NA,NA
"Chenopodium incanum","CHEINC","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",5.15405,5.15405,232.21586286,0.447479681294429,0.0267481123845486,42,0.0215644135,1.27958335,19.5708322009834,2.59708060981951,0.0325,0.0092,0.0417,0.0496305642408316,1.34976348217165,7,6,0,0,1,0.5,0.1615,NA,NA,NA
"Chenopodium murale","CHEMUR","Chenopodiaceae","forb","invasive","no appendage","none","human","animal","DW",5.7997,5.7997,221.94241566,0.515393258426966,0.0359636992221262,48.59375,0.024214435,1.3936932,20.1676950902373,2.65439979287248,0.0336,0.0132,0.0468,0.0515163932923939,1.24152226020492,7,6,0,0,1,1,0.0572,0.09,0.15,0.76
"Chenopodium neomexicanum","CHENEO","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",5.1177,5.1177,215.80371368,0.502067460904666,0.0282631918799759,42.5,0.0396151945,1.287338175,20.0198810482777,2.5612836875043,0.0323,0.0163,0.0486,0.065541363244324,1.31292781385623,7,6,0.5,0,1,1,0.232066666666667,NA,NA,NA
"Chenopodium watsonii","CHEWAT","Chenopodiaceae","forb","native","no appendage","none","human","animal","GRIN",4.3548,4.3548,218.79326398,0.547331278890601,0.0354083204930663,27.5,0.000800003,1.1078643,14.0013274419477,2.65602298680104,0.0356,0.0126,0.0482,0.0462841908856057,1.28449878266397,7,6,0,0,1,0,0.19665,NA,NA,NA
"Chorizanthe brevicornu","CHOBRE","Polygonaceae","forb","native","elongated appendage","hooks","adhesive","adhesive","SD",13.32,4.8096,207.317068,0.649337274424393,0.0332451773490977,15,0.047679434,5.118333,87.226829233825,0.954336380549867,0.0326,0.059,0.0916,0.0333393581969726,0.765625889853289,6,6,0,1,1,1,0.1157,NA,NA,NA
